care_site_id,care_site_type_source_value,Unité Fonctionnelle (UF),UM (UMA PMSI),Service/Département,hospital_name,hospital_id
8312084999,Unité de consultation (UC),8312019054.0,,8312019536.0,HOPITAL TENON,8312019560
8312019624,Unité de consultation (UC),8312019613.0,,8312019557.0,HOPITAL TENON,8312019560
19107727441,Unité de consultation (UC),8312005011.0,,8312019543.0,HOPITAL TENON,8312019560
8312005157,Unité de consultation (UC),8312005149.0,,,HOPITAL TENON,8312019560
15611334306,Unité de consultation (UC),8312005143.0,,,HOPITAL TENON,8312019560
8312005532,Unité d’hébergement (UH),8312004788.0,8312019437.0,8312019514.0,HOPITAL TENON,8312019560
8312074787,Unité d’hébergement (UH),8312004773.0,8312019439.0,8312019514.0,HOPITAL TENON,8312019560
8312019646,Unité de consultation (UC),8312019639.0,,8312019540.0,HOPITAL TENON,8312019560
16600865616,Unité d’hébergement (UH),8312005098.0,16583441666.0,8312019522.0,HOPITAL TENON,8312019560
8312019672,Unité de consultation (UC),8312019666.0,,8312019542.0,HOPITAL TENON,8312019560
8312019111,Unité de consultation (UC),15221243382.0,,8312019536.0,HOPITAL TENON,8312019560
8312019686,Unité de consultation (UC),8312019678.0,,8312019537.0,HOPITAL TENON,8312019560
8312019678,Unité Fonctionnelle (UF),8312019678.0,,8312019537.0,HOPITAL TENON,8312019560
19107727438,Unité de consultation (UC),8312004747.0,,8312019543.0,HOPITAL TENON,8312019560
16378705483,Unité de consultation (UC),8312019203.0,16378705487.0,8312019544.0,HOPITAL TENON,8312019560
8382309381,Unité Fonctionnelle (UF),8382309381.0,,,HOPITAL TENON,8312019560
10785400507,Unité de consultation (UC),8312019666.0,,8312019542.0,HOPITAL TENON,8312019560
8312019089,Unité de consultation (UC),8312019075.0,,8312019550.0,HOPITAL TENON,8312019560
8312004768,Unité de consultation (UC),8312004750.0,,8312019514.0,HOPITAL TENON,8312019560
8312019087,Unité de consultation (UC),8312019075.0,,8312019550.0,HOPITAL TENON,8312019560
8312083410,Unité d’hébergement (UH),8312064213.0,8312088191.0,8312064206.0,HOPITAL TENON,8312019560
15972868386,Unité d’hébergement (UH),8312019194.0,8312019498.0,8312019542.0,HOPITAL TENON,8312019560
8312019669,Unité de consultation (UC),8312019666.0,,8312019542.0,HOPITAL TENON,8312019560
8312019644,Unité de consultation (UC),8312019639.0,,8312019540.0,HOPITAL TENON,8312019560
8312005036,Unité de consultation (UC),8312005014.0,,8312019476.0,HOPITAL TENON,8312019560
8312017306,Unité d’hébergement (UH),8312019563.0,8312019394.0,8312019509.0,HOPITAL TENON,8312019560
8312019055,Unité d’hébergement (UH),8312019054.0,8312067717.0,8312019536.0,HOPITAL TENON,8312019560
8312019673,Unité de consultation (UC),8312019666.0,,8312019542.0,HOPITAL TENON,8312019560
19107727440,Unité de consultation (UC),8312005011.0,,8312019543.0,HOPITAL TENON,8312019560
8312019195,Unité d’hébergement (UH),8312019194.0,8312019499.0,8312019542.0,HOPITAL TENON,8312019560
15942973400,Unité de consultation (UC),15221243382.0,,8312019536.0,HOPITAL TENON,8312019560
8350834784,Unité Fonctionnelle (UF),8350834784.0,,,HOPITAL TENON,8312019560
8312019059,Unité d’hébergement (UH),15221243382.0,8312019478.0,8312019536.0,HOPITAL TENON,8312019560
8312019666,Unité Fonctionnelle (UF),8312019666.0,,8312019542.0,HOPITAL TENON,8312019560
8312039847,Unité d’hébergement (UH),8312019563.0,8312019394.0,8312019509.0,HOPITAL TENON,8312019560
8312019580,Unité d’hébergement (UH),8312019563.0,8312019394.0,8312019509.0,HOPITAL TENON,8312019560
8312004779,Unité de consultation (UC),8312004778.0,,8312019514.0,HOPITAL TENON,8312019560
8312081376,Unité d’hébergement (UH),8312064213.0,8312012402.0,8312064206.0,HOPITAL TENON,8312019560
16378705482,Unité de consultation (UC),8312019203.0,,8312019544.0,HOPITAL TENON,8312019560
8312074386,Unité de consultation (UC),15221243383.0,,8312019536.0,HOPITAL TENON,8312019560
9937579931,Unité d’hébergement (UH),8312004670.0,8312019475.0,8312019527.0,HOPITAL TENON,8312019560
